image_id,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,x_1,y_1,width,height,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y,identity_id,image_path,crop_path,lefteye_x_crop,lefteye_y_crop,righteye_x_crop,righteye_y_crop,nose_x_crop,nose_y_crop,leftmouth_x_crop,leftmouth_y_crop,rightmouth_x_crop,rightmouth_y_crop,aligned_path,lefteye_x_pred,lefteye_y_pred,righteye_x_pred,righteye_y_pred,nose_x_pred,nose_y_pred,leftmouth_x_pred,leftmouth_y_pred,rightmouth_x_pred,rightmouth_y_pred
000001.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,95,71,226,313,165,184,244,176,196,249,194,271,266,260,2880,/content/celeba/Part 1/Part 1/000001.jpg,/content/celeba/prepared_data/cropped_faces/000001.jpg,39.646018981933594,46.21086120605469,84.3893814086914,42.93929672241211,57.20354080200195,72.7923355102539,56.070796966552734,81.78913879394531,96.84955596923828,77.29073333740234,/content/celeba/prepared_data/aligned_faces/pred/000001.jpg,40.0,46.0,86.0,44.0,58.0,72.0,54.0,82.0,98.0,78.0
000002.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,72,94,221,306,140,204,220,204,168,254,146,289,226,289,2937,/content/celeba/Part 1/Part 1/000002.jpg,/content/celeba/prepared_data/cropped_faces/000002.jpg,39.38461685180664,46.0130729675293,85.7194595336914,46.0130729675293,55.601810455322266,66.92810821533203,42.8597297668457,81.5686264038086,89.19457244873047,81.5686264038086,/content/celeba/prepared_data/aligned_faces/pred/000002.jpg,40.0,46.0,86.0,46.0,54.0,68.0,42.0,82.0,88.0,82.0
000015.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,93,86,190,263,151,181,219,167,199,211,178,252,234,240,1854,/content/celeba/Part 1/Part 1/000015.jpg,/content/celeba/prepared_data/cropped_faces/000015.jpg,39.07368469238281,46.235740661621094,84.88420867919922,39.422054290771484,71.41053009033203,60.83650207519531,57.26315689086914,80.79087829589844,94.98947143554688,74.95056915283203,/content/celeba/prepared_data/aligned_faces/pred/000015.jpg,40.0,46.0,84.0,40.0,72.0,62.0,56.0,82.0,94.0,74.0
000018.jpg,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,140,84,195,270,200,181,284,187,238,228,197,256,277,261,2464,/content/celeba/Part 1/Part 1/000018.jpg,/content/celeba/prepared_data/cropped_faces/000018.jpg,39.38461685180664,45.98518371582031,94.52307891845703,48.829627990722656,64.32820892333984,68.26667022705078,37.41538619995117,81.54074096679688,89.92820739746094,83.9111099243164,/content/celeba/prepared_data/aligned_faces/pred/000018.jpg,40.0,46.0,94.0,48.0,64.0,68.0,38.0,82.0,90.0,84.0
000088.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,52,112,278,385,138,251,220,229,171,299,172,346,222,336,5578,/content/celeba/Part 1/Part 1/000088.jpg,/content/celeba/prepared_data/cropped_faces/000088.jpg,39.59712219238281,46.21298599243164,77.3525161743164,38.89870071411133,54.79136657714844,62.17142868041992,55.25179672241211,77.79740142822266,78.27338409423828,74.47272491455078,/content/celeba/prepared_data/aligned_faces/pred/000088.jpg,40.0,46.0,76.0,40.0,54.0,62.0,54.0,78.0,78.0,74.0
000089.jpg,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,337,146,320,443,435,306,549,291,488,384,463,420,553,414,5472,/content/celeba/Part 1/Part 1/000089.jpg,/content/celeba/prepared_data/cropped_faces/000089.jpg,39.20000076293945,46.230247497558594,84.80000305175781,41.89616394042969,60.400001525878906,68.76749420166016,50.400001525878906,79.16930389404297,86.4000015258789,77.4356689453125,/content/celeba/prepared_data/aligned_faces/pred/000089.jpg,40.0,46.0,86.0,42.0,60.0,68.0,50.0,80.0,86.0,78.0
000094.jpg,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,167,38,96,133,197,86,233,99,212,114,186,122,222,136,4960,/content/celeba/Part 1/Part 1/000094.jpg,/content/celeba/prepared_data/cropped_faces/000094.jpg,40.0,46.19548797607422,88.0,58.70676803588867,60.0,73.14286041259766,25.33333396911621,80.84210205078125,73.33333587646484,94.31578826904297,/content/celeba/prepared_data/aligned_faces/pred/000094.jpg,40.0,46.0,90.0,58.0,60.0,74.0,24.0,82.0,74.0,94.0
000100.jpg,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,284,140,364,504,396,322,531,333,480,405,387,457,516,473,6746,/content/celeba/Part 1/Part 1/000100.jpg,/content/celeba/prepared_data/cropped_faces/000100.jpg,39.38461685180664,46.22222137451172,86.85713958740234,49.015872955322266,68.92308044433594,67.30158996582031,36.21977996826172,80.5079345703125,81.5824203491211,84.57142639160156,/content/celeba/prepared_data/aligned_faces/pred/000100.jpg,40.0,46.0,86.0,50.0,68.0,68.0,36.0,82.0,80.0,84.0
000104.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,84,119,151,209,130,194,188,185,164,229,139,252,200,243,4323,/content/celeba/Part 1/Part 1/000104.jpg,/content/celeba/prepared_data/cropped_faces/000104.jpg,38.993377685546875,45.933013916015625,88.15894317626953,40.421051025390625,67.81456756591797,67.36842346191406,46.62251663208008,81.45454406738281,98.33112335205078,75.94258117675781,/content/celeba/prepared_data/aligned_faces/pred/000104.jpg,40.0,46.0,88.0,40.0,66.0,68.0,46.0,82.0,98.0,76.0
000110.jpg,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,191,133,185,256,248,225,333,206,297,273,261,296,348,277,4731,/content/celeba/Part 1/Part 1/000110.jpg,/content/celeba/prepared_data/cropped_faces/000110.jpg,39.43783950805664,46.0,98.24864959716797,36.5,73.34053802490234,70.0,48.43243408203125,81.5,108.62702941894531,72.0,/content/celeba/prepared_data/aligned_faces/pred/000110.jpg,40.0,46.0,100.0,36.0,74.0,70.0,48.0,82.0,108.0,72.0
